FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170913;0100;;;1,9372;
170913;0200;;;1,89717;
170913;0300;;;1,88393;
170913;0400;;;1,89805;
170913;0500;;;1,95207;
170913;0600;;;1,93183;
170913;0700;;;1,93795;
170913;0800;;;1,9393;
170913;0900;;;1,92358;
170913;1000;;;1,93573;
170913;1100;;;1,93618;
170913;1200;;;1,89072;
170913;1300;;;1,8973;
170913;1400;;;1,89485;
170913;1500;;;1,99328;
170913;1600;;;1,88855;
170913;1700;;;1,8946;
170913;1800;;;1,89915;
170913;1900;;;1,90028;
170913;2000;;;1,9265;
170913;2100;;;1,97477;
170913;2200;;;1,99013;
170913;2300;;;1,97812;
170914;0000;;;1,98297;
170914;0100;;;1,99673;
170914;0200;;;1,97103;
170914;0300;;;1,99167;
170914;0400;;;1,95897;
170914;0500;;;1,98117;
170914;0600;;;1,96782;
170914;0700;;;1,969;
170914;0800;;;1,9831;
170914;0900;;;1,96797;
170914;1000;;;1,93327;
170914;1100;;;1,93845;
170914;1200;;;1,92728;
170914;1300;;;1,92188;
170914;1400;;;1,90238;
170914;1500;;;;
170914;1600;;;1,86956;
170914;1700;;;1,9071;
170914;1800;;;1,92042;
170914;1900;;;1,92373;
170914;2000;;;1,9658;
170914;2100;;;1,97687;
170914;2200;;;1,96858;
170914;2300;;;1,9496;
170915;0000;;;1,9715;
170915;0100;;;1,96945;
170915;0200;;;1,97923;
170915;0300;;;1,95095;
170915;0400;;;1,9846;
170915;0500;;;2,00342;
170915;0600;;;2,00803;
170915;0700;;;2,00603;
170915;0800;;;1,99077;
170915;0900;;;2,04838;
170915;1000;;;2,04077;
170915;1100;;;1,99143;
170915;1200;;;1,97287;
170915;1300;;;1,95487;
170915;1400;;;1,93028;
170915;1500;;;1,92452;
170915;1600;;;1,92525;
170915;1700;;;1,9237;
170915;1800;;;1,92262;
170915;1900;;;1,9337;
170915;2000;;;1,9627;
170915;2100;;;1,93887;
170915;2200;;;1,94448;
170915;2300;;;1,95738;
170916;0000;;;1,99217;
170916;0100;;;1,9675;
170916;0200;;;1,9611;
170916;0300;;;1,9682;
170916;0400;;;1,96637;
170916;0500;;;1,97288;
170916;0600;;;1,9697;
170916;0700;;;1,9789;
170916;0800;;;1,97703;
170916;0900;;;2,0532;
170916;1000;;;1,99007;
170916;1100;;;1,9873;
170916;1200;;;2,03085;
170916;1300;;;2,02055;
170916;1400;;;1,99244;
170916;1500;;;;
170916;1600;;;;
170916;1700;;;;
170916;1800;;;;
170916;1900;;;;
170916;2000;;;1,2614;
170916;2100;;;1,99997;
170916;2200;;;2,00008;
170916;2300;;;1,9933;
170917;0000;;;2,00807;
170917;0100;;;1,9789;
170917;0200;;;1,95673;
170917;0300;;;1,95255;
170917;0400;;;1,98427;
170917;0500;;;1,9755;
170917;0600;;;1,95688;
170917;0700;;;1,96282;
170917;0800;;;1,9647;
170917;0900;;;1,94963;
170917;1000;;;1,94523;
170917;1100;;;1,93817;
170917;1200;;;1,92547;
170917;1300;;;1,93107;
170917;1400;;;1,93212;
170917;1500;;;1,92178;
170917;1600;;;1,92363;
170917;1700;;;1,92;
170917;1800;;;1,92123;
170917;1900;;;1,93562;
170917;2000;;;1,94465;
170917;2100;;;1,9644;
170917;2200;;;1,95717;
170917;2300;;;1,93848;
170918;0000;;;1,9314;
170918;0100;;;1,946;
170918;0200;;;1,93818;
170918;0300;;;1,93523;
170918;0400;;;1,92927;
170918;0500;;;1,9296;
170918;0600;;;1,92773;
170918;0700;;;1,92673;
170918;0800;;;1,92443;
170918;0900;;;1,91948;
170918;1000;;;1,91947;
170918;1100;;;1,91852;
170918;1200;;;1,91872;
170918;1300;;;1,92022;
170918;1400;;;1,92195;
170918;1500;;;1,9095;
170918;1600;;;1,9137;
170918;1700;;;1,91132;
170918;1800;;;1,91277;
170918;1900;;;1,91487;
170918;2000;;;1,91987;
170918;2100;;;1,92878;
170918;2200;;;1,921;
170918;2300;;;1,91733;
170919;0000;;;1,90837;
170919;0100;;;1,9081;
170919;0200;;;1,91158;
170919;0300;;;1,92763;
170919;0400;;;1,92778;
170919;0500;;;1,9119;
170919;0600;;;1,91393;
170919;0700;;;1,91607;
170919;0800;;;1,91362;
170919;0900;;;1,91217;
170919;1000;;;1,91003;
170919;1100;;;1,90917;
170919;1200;;;1,91202;
170919;1300;;;1,9164;
170919;1400;;;1,91297;
170919;1500;;;1,91363;
170919;1600;;;1,91173;
170919;1700;;;1,91073;
170919;1800;;;1,9087;
170919;1900;;;1,91372;
170919;2000;;;1,9332;
170919;2100;;;1,93575;
170919;2200;;;1,97672;
170919;2300;;;1,946;
170920;0000;;;1,95373;
170920;0100;;;1,95885;
170920;0200;;;1,96988;
170920;0300;;;1,98427;
170920;0400;;;1,96957;
170920;0500;;;1,95437;
170920;0600;;;1,97365;
170920;0700;;;2,00343;
170920;0800;;;1,94693;
170920;0900;;;1,9672;
170920;1000;;;1,93577;
170920;1100;;;1,93513;
170920;1200;;;1,92917;
170920;1300;;;1,92002;
170920;1400;;;1,90647;
170920;1500;;;1,89795;
170920;1600;;;1,8906;
170920;1700;;;1,89975;
170920;1800;;;1,90808;
170920;1900;;;1,9239;
170920;2000;;;1,92822;
170920;2100;;;1,95283;
170920;2200;;;1,93285;
170920;2300;;;1,9362;
170921;0000;;;1,9442;
170921;0100;;;1,93753;
170921;0200;;;1,93267;
170921;0300;;;1,93167;
170921;0400;;;1,98812;
170921;0500;;;1,96773;
170921;0600;;;1,97083;
170921;0700;;;1,9675;
170921;0800;;;1,99957;
170921;0900;;;1,9961;
170921;1000;;;1,98775;
170921;1100;;;1,94918;
170921;1200;;;1,94;
170921;1300;;;1,91858;
170921;1400;;;1,91242;
170921;1500;;;1,91165;
170921;1600;;;1,90458;
170921;1700;;;1,88487;
170921;1800;;;;
170921;1900;;;1,88752;
170921;2000;;;1,90657;
170921;2100;;;1,90917;
170921;2200;;;1,93518;
170921;2300;;;1,93395;
170922;0000;;;1,93582;
170922;0100;;;1,92128;
170922;0200;;;1,92158;
170922;0300;;;1,92905;
170922;0400;;;1,92207;
170922;0500;;;1,92147;
170922;0600;;;1,9227;
170922;0700;;;1,94463;
170922;0800;;;1,92422;
170922;0900;;;1,9345;
170922;1000;;;1,96468;
170922;1100;;;1,95332;
170922;1200;;;1,9331;
170922;1300;;;1,91655;
170922;1400;;;1,91927;
170922;1500;;;1,91167;
170922;1600;;;1,90765;
170922;1700;;;1,90283;
170922;1800;;;1,90833;
170922;1900;;;1,9115;
170922;2000;;;1,90782;
170922;2100;;;1,9136;
170922;2200;;;1,92302;
170922;2300;;;1,91582;
170923;0000;;;1,9392;
170923;0100;;;1,9556;
170923;0200;;;2,01223;
170923;0300;;;2,05348;
170923;0400;;;2,0467;
170923;0500;;;2,0841;
170923;0600;;;2,06857;
170923;0700;;;2,0205;
170923;0800;;;1,97027;
170923;0900;;;1,91112;
170923;1000;;;1,90782;
170923;1100;;;1,92292;
170923;1200;;;1,93733;
170923;1300;;;1,9345;
170923;1400;;;1,92293;
170923;1500;;;1,90555;
170923;1600;;;1,88745;
170923;1700;;;1,87075;
170923;1800;;;1,87268;
170923;1900;;;1,87557;
170923;2000;;;1,88427;
170923;2100;;;1,88512;
170923;2200;;;1,9215;
170923;2300;;;1,91252;
170924;0000;;;1,91345;
170924;0100;;;1,90572;
170924;0200;;;1,89493;
170924;0300;;;1,90423;
170924;0400;;;1,89622;
170924;0500;;;2,53012;
170924;0600;;;1,89665;
170924;0700;;;1,89508;
170924;0800;;;1,90592;
170924;0900;;;1,9007;
170924;1000;;;1,88185;
170924;1100;;;1,87682;
170924;1200;;;1,8764;
170924;1300;;;1,87775;
170924;1400;;;1,86723;
170924;1500;;;1,86708;
170924;1600;;;1,87543;
170924;1700;;;1,8713;
170924;1800;;;1,86728;
170924;1900;;;1,87488;
170924;2000;;;1,89287;
170924;2100;;;1,89895;
170924;2200;;;1,89348;
170924;2300;;;1,89155;
170925;0000;;;1,89732;
170925;0100;;;1,89877;
170925;0200;;;1,91518;
170925;0300;;;1,90677;
170925;0400;;;1,91472;
170925;0500;;;1,94655;
170925;0600;;;1,96127;
170925;0700;;;1,91397;
170925;0800;;;1,91713;
170925;0900;;;1,9511;
170925;1000;;;1,9639;
170925;1100;;;1,93248;
170925;1200;;;1,89447;
170925;1300;;;1,88145;
170925;1400;;;1,87902;
170925;1500;;;1,87878;
170925;1600;;;1,87378;
170925;1700;;;1,87165;
170925;1800;;;1,8849;
170925;1900;;;1,90635;
170925;2000;;;1,911;
170925;2100;;;1,90203;
170925;2200;;;1,91238;
170925;2300;;;1,9046;
170926;0000;;;1,8954;
170926;0100;;;1,90117;
170926;0200;;;1,90377;
170926;0300;;;1,90547;
170926;0400;;;1,90237;
170926;0500;;;1,9057;
170926;0600;;;1,92447;
170926;0700;;;1,91342;
170926;0800;;;1,96917;
170926;0900;;;1,9955;
170926;1000;;;1,91657;
170926;1100;;;1,50656;
170926;1200;;;1,89848;
170926;1300;;;1,9046;
170926;1400;;;1,90787;
170926;1500;;;1,90847;
170926;1600;;;1,90207;
170926;1700;;;1,90657;
170926;1800;;;1,89873;
170926;1900;;;1,8862;
170926;2000;;;1,88263;
170926;2100;;;1,88175;
170926;2200;;;1,88008;
170926;2300;;;1,88337;
170927;0000;;;1,88405;
170927;0100;;;1,8826;
170927;0200;;;1,8856;
170927;0300;;;1,89898;
170927;0400;;;1,89783;
170927;0500;;;1,92002;
170927;0600;;;1,92828;
170927;0700;;;1,92628;
170927;0800;;;1,91412;
170927;0900;;;1,87557;
170927;1000;;;1,88377;
170927;1100;;;1,88813;
170927;1200;;;1,88795;
170927;1300;;;1,91082;
170927;1400;;;1,90173;
170927;1500;;;1,89175;
170927;1600;;;1,89178;
170927;1700;;;1,88887;
170927;1800;;;1,88383;
170927;1900;;;1,87525;
170927;2000;;;1,8725;
170927;2100;;;1,88468;
170927;2200;;;1,89028;
170927;2300;;;1,87477;
170928;0000;;;1,87852;
170928;0100;;;1,87625;
170928;0200;;;1,87672;
170928;0300;;;1,86972;
170928;0400;;;1,8661;
170928;0500;;;1,8699;
170928;0600;;;1,8722;
170928;0700;;;1,87262;
170928;0800;;;1,96353;
170928;0900;;;1,87907;
170928;1000;;;1,87948;
170928;1100;;;1,87737;
170928;1200;;;1,89397;
170928;1300;;;1,90312;
170928;1400;;;1,9103;
170928;1500;;;1,91122;
170928;1600;;;1,91003;
170928;1700;;;1,91415;
170928;1800;;;1,91398;
170928;1900;;;1,91738;
170928;2000;;;1,91143;
170928;2100;;;1,90667;
170928;2200;;;1,90507;
170928;2300;;;1,91462;
170929;0000;;;1,92605;
170929;0100;;;1,91015;
170929;0200;;;1,93542;
170929;0300;;;1,93655;
170929;0400;;;1,92275;
170929;0500;;;1,91595;
170929;0600;;;1,90582;
170929;0700;;;1,91442;
170929;0800;;;1,90143;
170929;0900;;;1,55423;
170929;1000;;;0,00016667;
170929;1100;;;0;
170929;1200;;;0;
170929;1300;;;0;
170929;1400;;;0,00113333;
170929;1500;;;0,00011667;
170929;1600;;;0,1562;
170929;1700;;;1,7357;
170929;1800;;;1,7028;
170929;1900;;;1,72002;
170929;2000;;;1,7108;
170929;2100;;;1,7536;
170929;2200;;;1,74112;
170929;2300;;;1,7846;
170930;0000;;;1,74542;
170930;0100;;;1,7802;
170930;0200;;;1,689;
170930;0300;;;1,76502;
170930;0400;;;1,73418;
170930;0500;;;1,78893;
170930;0600;;;1,71167;
170930;0700;;;1,7707;
170930;0800;;;1,76105;
170930;0900;;;1,76427;
170930;1000;;;1,77115;
170930;1100;;;1,77662;
170930;1200;;;1,74832;
170930;1300;;;1,81245;
170930;1400;;;1,72358;
170930;1500;;;1,96973;
170930;1600;;;;
170930;1700;;;;
170930;1800;;;;
170930;1900;;;;
170930;2000;;;;
170930;2100;;;;
170930;2200;;;;
170930;2300;;;;
171001;0000;;;;
171001;0100;;;;
171001;0200;;;;
171001;0300;;;;
171001;0400;;;;
171001;0500;;;;
171001;0600;;;;
171001;0700;;;;
171001;0800;;;;
171001;0900;;;;
171001;1000;;;;
171001;1100;;;;
