FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130116;1800;;1,39872;;
130116;1900;;3,19707;;
130116;2000;;2,89734;;
130116;2100;;2,09808;;
130116;2200;;0,399634;;
130116;2300;;2,69753;;
130117;0000;;9,6911;;
130117;0100;;6,89365;;
130117;0200;;2,29789;;
130117;0300;;1,29881;;
130117;0400;;2,69753;;
130117;0500;;1,09899;;
130117;0600;;0,699359;;
130117;0700;;0,599449;;
130117;0800;;0,799267;;
130117;0900;;0,699359;;
130117;1000;;0,699359;;
130117;1100;;0,599449;;
130117;1200;;0,599449;;
130117;1300;;0,599449;;
130117;1400;;1,49863;;
130117;1500;;1,39872;;
130117;1600;;0,899176;;
130117;1700;;0,699359;;
130117;1800;;0,599449;;
130117;1900;;0,499542;;
130117;2000;;1,09899;;
130117;2100;;3,29698;;
130117;2200;;2,99725;;
130117;2300;;1,1989;;
130118;0000;;1,09899;;
130118;0100;;1,79835;;
130118;0200;;2,3978;;
130118;0300;;1,99817;;
130118;0400;;2,49771;;
130118;0500;;1,99817;;
130118;0600;;1,39872;;
130118;0700;;1,09899;;
130118;0800;;4,59579;;
130118;0900;;3,39689;;
130118;1000;;1,59853;;
130118;1100;;0,899176;;
130118;1200;;0,999084;;
130118;1300;;0,799267;;
130118;1400;;0,899176;;
130118;1500;;1,69844;;
130118;1600;;0,899176;;
130118;1700;;1,49863;;
130118;1800;;1,69844;;
130118;1900;;2,19798;;
130118;2000;;2,29789;;
130118;2100;;1,99817;;
130118;2200;;3,99634;;
130118;2300;;16,0853;;
130119;0000;;34,7681;;
130119;0100;;12,4886;;
130119;0200;;4,79561;;
130119;0300;;1,49863;;
130119;0400;;0,599449;;
130119;0500;;0,599449;;
130119;0600;;0,0999084;;
130119;0700;;0,199817;;
130119;0800;;0,0999084;;
130119;0900;;0,599449;;
130119;1000;;1,39872;;
130119;1100;;1,89826;;
130119;1200;;0,999084;;
130119;1300;;0,599449;;
130119;1400;;0,999084;;
130119;1500;;0,299725;;
130119;1600;;0,299725;;
130119;1700;;0,199817;;
130119;1800;;0,299725;;
130119;1900;;0,199817;;
130119;2000;;0,899176;;
130119;2100;;2,49771;;
130119;2200;;0,299725;;
130119;2300;;0,399634;;
130120;0000;;1,59853;;
130120;0100;;4,19614;;
130120;0200;;4,39594;;
130120;0300;;6,59396;;
130120;0400;;1,59853;;
130120;0500;;0,799267;;
130120;0600;;0,499542;;
130120;0700;;0,499542;;
130120;0800;;0,399634;;
130120;0900;;0,299725;;
130120;1000;;0,299725;;
130120;1100;;0,799267;;
130120;1200;;1,39872;;
130120;1300;;0,499542;;
130120;1400;;0,399634;;
130120;1500;;1,49863;;
130120;1600;;0,799267;;
130120;1700;;0,699359;;
130120;1800;;0,599449;;
130120;1900;;0,399634;;
130120;2000;;1,69844;;
130120;2100;;0,999084;;
130120;2200;;0,599449;;
130120;2300;;0,899176;;
130121;0000;;1,59853;;
130121;0100;;2,3978;;
130121;0200;;7,69294;;
130121;0300;;3,99634;;
130121;0400;;2,49771;;
130121;0500;;1,99817;;
130121;0600;;1,89826;;
130121;0700;;1,89826;;
130121;0800;;3,69661;;
130121;0900;;5,89458;;
130121;1000;;5,19523;;
130121;1100;;3,09716;;
130121;1200;;3,19707;;
130121;1300;;2,19798;;
130121;1400;;2,89734;;
130121;1500;;1,39872;;
130121;1600;;0,999084;;
130121;1700;;1,39872;;
130121;1800;;1,99817;;
130121;1900;;1,29881;;
130121;2000;;5,89458;;
130121;2100;;1,59853;;
130121;2200;;3,19707;;
130121;2300;;2,69753;;
130122;0000;;7,59305;;
130122;0100;;7,59305;;
130122;0200;;5,69476;;
130122;0300;;3,19707;;
130122;0400;;2,59762;;
130122;0500;;3,79652;;
130122;0600;;3,89641;;
130122;0700;;3,09716;;
130122;0800;;8,09259;;
130122;0900;;11,989;;
130122;1000;;4,49588;;
130122;1100;;5,09534;;
130122;1200;;3,29698;;
130122;1300;;3,5967;;
130122;1400;;1,49863;;
130122;1500;;0,599449;;
130122;1600;;0,699359;;
130122;1700;;0,799267;;
130122;1800;;0,799267;;
130122;1900;;1,39872;;
130122;2000;;4,59579;;
130122;2100;;4,39594;;
130122;2200;;2,29789;;
130122;2300;;1,29881;;
130123;0000;;0,999084;;
130123;0100;;3,39689;;
130123;0200;;2,29789;;
130123;0300;;1,1989;;
130123;0400;;2,09808;;
130123;0500;;5,09534;;
130123;0600;;2,19798;;
130123;0700;;0,599449;;
130123;0800;;0,899176;;
130123;0900;;1,29881;;
130123;1000;;0,299725;;
130123;1100;;0,299725;;
130123;1200;;;;
130123;1300;;;;
130123;1400;;;;
130123;1500;;0,699359;;
130123;1600;;0,599449;;
130123;1700;;0,299725;;
130123;1800;;1,09899;;
130123;1900;;1,69844;;
130123;2000;;2,19798;;
130123;2100;;1,09899;;
130123;2200;;0,999084;;
130123;2300;;1,1989;;
130124;0000;;1,29881;;
130124;0100;;1,09899;;
130124;0200;;1,1989;;
130124;0300;;2,19798;;
130124;0400;;2,69753;;
130124;0500;;1,79835;;
130124;0600;;0,999084;;
130124;0700;;0,999084;;
130124;0800;;0,799267;;
130124;0900;;0,899176;;
130124;1000;;1,09899;;
130124;1100;;0,899176;;
130124;1200;;0,899176;;
130124;1300;;0,699359;;
130124;1400;;0,799267;;
130124;1500;;0,699359;;
130124;1600;;0,699359;;
130124;1700;;0,599449;;
130124;1800;;0,699359;;
130124;1900;;1,69844;;
130124;2000;;2,09808;;
130124;2100;;4,69569;;
130124;2200;;1,59853;;
130124;2300;;1,69844;;
130125;0000;;1,09899;;
130125;0100;;1,59853;;
130125;0200;;1,79835;;
130125;0300;;2,59762;;
130125;0400;;2,79744;;
130125;0500;;3,39689;;
130125;0600;;2,19798;;
130125;0700;;1,79835;;
130125;0800;;1,49863;;
130125;0900;;0,999084;;
130125;1000;;1,09899;;
130125;1100;;1,59853;;
130125;1200;;1,99817;;
130125;1300;;1,49863;;
130125;1400;;2,69753;;
130125;1500;;2,09808;;
130125;1600;;1,69844;;
130125;1700;;0,799267;;
130125;1800;;1,69844;;
130125;1900;;2,19798;;
130125;2000;;0,699359;;
130125;2100;;0,699359;;
130125;2200;;3,09716;;
130125;2300;;4,39594;;
130126;0000;;2,29789;;
130126;0100;;1,89826;;
130126;0200;;2,49771;;
130126;0300;;19,7819;;
130126;0400;;9,99083;;
130126;0500;;4,49588;;
130126;0600;;4,09626;;
130126;0700;;2,09808;;
130126;0800;;1,39872;;
130126;0900;;0,799267;;
130126;1000;;0,499542;;
130126;1100;;0,299725;;
130126;1200;;0,399634;;
130126;1300;;0,299725;;
130126;1400;;0,299725;;
130126;1500;;0,399634;;
130126;1600;;0,599449;;
130126;1700;;0,599449;;
130126;1800;;0,299725;;
130126;1900;;0,499542;;
130126;2000;;1,29881;;
130126;2100;;1,29881;;
130126;2200;;1,39872;;
130126;2300;;1,79835;;
130127;0000;;4,59579;;
130127;0100;;5,9945;;
130127;0200;;6,39412;;
130127;0300;;6,49405;;
130127;0400;;4,59579;;
130127;0500;;6,29424;;
130127;0600;;6,19431;;
130127;0700;;2,19798;;
130127;0800;;3,5967;;
130127;0900;;2,99725;;
130127;1000;;2,19798;;
130127;1100;;1,99817;;
130127;1200;;3,89641;;
130127;1300;;3,69661;;
130127;1400;;3,5967;;
130127;1500;;2,49771;;
130127;1600;;2,09808;;
130127;1700;;2,09808;;
130127;1800;;2,19798;;
130127;1900;;1,89826;;
130127;2000;;1,99817;;
130127;2100;;2,29789;;
130127;2200;;2,89734;;
130127;2300;;3,49679;;
130128;0000;;2,09808;;
130128;0100;;1,79835;;
130128;0200;;2,59762;;
