FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080623;0800;;;;
080623;0900;;;;
080623;1000;;;;
080623;1100;;;;
080623;1200;;;;
080623;1300;;;;
080623;1400;;;;
080623;1500;;;;
080623;1600;;;;
080623;1700;;;;
080623;1800;;;;
080623;1900;;;;
080623;2000;;;;
080623;2100;;;;
080623;2200;;;;
080623;2300;;;;
080624;0000;;;;
080624;0100;;;;
080624;0200;;;;
080624;0300;;;;
080624;0400;;;;
080624;0500;;;;
080624;0600;;;;
080624;0700;;;;
080624;0800;;;;
080624;0900;;;;
080624;1000;;;;
080624;1100;;;;
080624;1200;;;;
080624;1300;;;;
080624;1400;;;;
080624;1500;;;;
080624;1600;;;;
080624;1700;;;;
080624;1800;;;;
080624;1900;;;;
080624;2000;;;;
080624;2100;;;;
080624;2200;;;;
080624;2300;;;;
080625;0000;;;;
080625;0100;;;;
080625;0200;;;;
080625;0300;;;;
080625;0400;;;;
080625;0500;;;;
080625;0600;;;;
080625;0700;;;;
080625;0800;;;;
080625;0900;;;;
080625;1000;;;;
080625;1100;;;;
080625;1200;;;;
080625;1300;;;;
080625;1400;;;;
080625;1500;;;;
080625;1600;;;;
080625;1700;;;;
080625;1800;;;;
080625;1900;;;;
080625;2000;;;;
080625;2100;;;;
080625;2200;;;;
080625;2300;;;;
080626;0000;;;;
080626;0100;;;;
080626;0200;;;;
080626;0300;;;;
080626;0400;;;;
080626;0500;;;;
080626;0600;;;;
080626;0700;;;;
080626;0800;;;;
080626;0900;;;;
080626;1000;;;;
080626;1100;;;;
080626;1200;;;;
080626;1300;;;;
080626;1400;;;;
080626;1500;;;;
080626;1600;;;;
080626;1700;;;;
080626;1800;;;;
080626;1900;;;;
080626;2000;;;;
080626;2100;;;;
080626;2200;;;;
080626;2300;;;;
080627;0000;;;;
080627;0100;;;;
080627;0200;;;;
080627;0300;;;;
080627;0400;;;;
080627;0500;;;;
080627;0600;;;;
080627;0700;;;;
080627;0800;;;;
080627;0900;;;;
080627;1000;;;;
080627;1100;;;;
080627;1200;;;;
080627;1300;;;;
080627;1400;;;;
080627;1500;;;;
080627;1600;;;;
080627;1700;;;;
080627;1800;;;;
080627;1900;;;;
